sku,categories
/,"cat_3,cat_11,cat_14,cat_21,cat_2224,cat_8"
107595701,"cat_1968,cat_3,cat_11,cat_1551,cat_8,cat_1549"
1076,"cat_2374,cat_3,cat_8"
107625501,"cat_2127,cat_3,cat_14"
107625601,"cat_2127,cat_3,cat_14"
107625701,"cat_2127,cat_3,cat_14"
107626101,"cat_2127,cat_3,cat_14"
107626201,"cat_2127,cat_3,cat_14"
107626501,"cat_2127,cat_3,cat_14"
107626701,"cat_2127,cat_3,cat_14"
107627001,"cat_2127,cat_3,cat_14"
107627201,"cat_2127,cat_3,cat_14"
107627301,"cat_2127,cat_3,cat_14"
107628001,"cat_2127,cat_3,cat_14"
107628201,"cat_2127,cat_3,cat_14"
107629301,"cat_2127,cat_3,cat_14"
107629401,"cat_2127,cat_3,cat_14"
107629501,"cat_2127,cat_3,cat_14"
107629901,"cat_2127,cat_3,cat_11,cat_14"
107630001,"cat_2127,cat_3,cat_11,cat_14"
107630101,"cat_2127,cat_3,cat_11,cat_14"
107630201,"cat_2127,cat_3,cat_11,cat_14"
107630301,"cat_2127,cat_3,cat_11,cat_14"
107630401,"cat_2127,cat_3,cat_11,cat_14"
107630501,"cat_2127,cat_3,cat_11,cat_14"
107630601,"cat_2127,cat_3,cat_11,cat_14"
107630701,"cat_2127,cat_3,cat_11,cat_14"
107630801,"cat_2127,cat_3,cat_11,cat_14"
107630901,"cat_2127,cat_3,cat_11,cat_14"
107631001,"cat_2127,cat_3,cat_11,cat_14"
107631101,"cat_2127,cat_3,cat_11,cat_14"
107631201,"cat_2127,cat_3,cat_11,cat_14"
107631301,"cat_2127,cat_3,cat_11,cat_14"
107631401,"cat_2127,cat_3,cat_11,cat_14"
107631501,"cat_2127,cat_3,cat_11,cat_14"
107631601,"cat_2127,cat_3,cat_11,cat_14"
107631801,"cat_2127,cat_3,cat_11,cat_14"
107631901,"cat_2127,cat_3,cat_11,cat_14"
107632001,"cat_2127,cat_3,cat_11,cat_14"
107632101,"cat_2127,cat_3,cat_11,cat_14"
107632201,"cat_2127,cat_3,cat_11,cat_14"
107632301,"cat_2127,cat_3,cat_11,cat_14"
107632401,"cat_2127,cat_3,cat_11,cat_14"
107632501,"cat_2127,cat_3,cat_11,cat_14"
107633801,"cat_2127,cat_3,cat_14"
107633901,"cat_2127,cat_3,cat_14"
107634501,"cat_2127,cat_3,cat_14"
107634601,"cat_2127,cat_3,cat_14"
107634901,"cat_2127,cat_3,cat_14"
107635201,"cat_2127,cat_3,cat_14"
107635401,"cat_2127,cat_3,cat_14"
107635601,"cat_2127,cat_3,cat_14"
107636101,"cat_2127,cat_3,cat_14"
107639201,"cat_2127,cat_3,cat_11,cat_14"
107639301,"cat_2127,cat_3,cat_11,cat_14"
107639501,"cat_2127,cat_3,cat_11,cat_14"
107639601,"cat_2127,cat_3,cat_11,cat_14"
107639701,"cat_2127,cat_3,cat_11,cat_14"
107639801,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107642501,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107643601,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107643701,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107643801,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107643901,"cat_2127,cat_3,cat_11,cat_14"
107644301,"cat_2127,cat_3,cat_11,cat_14"
107644401,"cat_2127,cat_3,cat_11,cat_14"
107644601,"cat_2127,cat_3,cat_11,cat_14"
107645101,"cat_2127,cat_3,cat_11,cat_14"
107645301,"cat_2127,cat_3,cat_11"
107645601,"cat_2127,cat_3,cat_11,cat_14"
107646701,"cat_2127,cat_3,cat_11,cat_14"
107647001,"cat_2127,cat_3,cat_11,cat_14"
107647101,"cat_2127,cat_3,cat_11,cat_14"
107647201,"cat_2127,cat_3,cat_11,cat_14"
107647301,"cat_2127,cat_3,cat_11,cat_14"
107647401,"cat_2127,cat_3,cat_11,cat_14"
107647501,"cat_2127,cat_3,cat_11,cat_14"
107647601,"cat_2127,cat_3,cat_11,cat_14"
107647701,"cat_2127,cat_3,cat_11,cat_14"
107647801,"cat_2127,cat_3,cat_11,cat_14"
107647901,"cat_2127,cat_3,cat_11,cat_14"
107648001,"cat_2127,cat_3,cat_11,cat_14"
107648101,"cat_2127,cat_3,cat_11,cat_14"
107648201,"cat_2127,cat_3,cat_11,cat_14"
107648301,"cat_2127,cat_3,cat_11,cat_14"
107648401,"cat_2127,cat_3,cat_11,cat_14"
107648501,"cat_2127,cat_3,cat_11,cat_14"
107648601,"cat_2127,cat_3,cat_11,cat_14"
107648701,"cat_2127,cat_3,cat_11,cat_14"
107648801,"cat_2127,cat_3,cat_11,cat_14"
107648901,"cat_2127,cat_3,cat_11,cat_14"
107649001,"cat_2127,cat_3,cat_11,cat_14"
107649101,"cat_2127,cat_3,cat_11,cat_14"
107649201,"cat_2127,cat_3,cat_11,cat_14"
107649301,"cat_2127,cat_3,cat_11,cat_14"
107649401,"cat_2127,cat_3,cat_11,cat_14"
107649601,"cat_2127,cat_3,cat_11,cat_14"
107649701,"cat_2127,cat_3,cat_11,cat_14"
107649801,"cat_2127,cat_3,cat_11,cat_14"
107649901,"cat_2127,cat_3,cat_11,cat_14"
107650201,"cat_2127,cat_3,cat_11,cat_14"
107650401,"cat_2127,cat_3,cat_11,cat_14"
107650501,"cat_2127,cat_3,cat_11,cat_14"
107650901,"cat_2127,cat_3,cat_11,cat_14"
107651101,"cat_2127,cat_3,cat_11,cat_14"
107651201,"cat_2127,cat_3,cat_11"
107651401,"cat_2127,cat_3,cat_11,cat_14"
107651601,"cat_2127,cat_3,cat_11"
107652001,"cat_2127,cat_3,cat_11,cat_14"
107652101,"cat_2127,cat_3,cat_11,cat_14"
107652301,"cat_2127,cat_3,cat_11,cat_14"
107652501,"cat_2127,cat_3,cat_11,cat_14"
107652801,"cat_2127,cat_3,cat_11,cat_14"
107652901,"cat_2127,cat_3,cat_11,cat_14"
107653101,"cat_2127,cat_3,cat_11,cat_14"
107653201,"cat_2127,cat_3,cat_11"
107653301,"cat_2127,cat_3,cat_11,cat_14"
107653601,"cat_2127,cat_3,cat_11"
107654001,"cat_2127,cat_3,cat_11"
107654201,"cat_2127,cat_3,cat_11,cat_14"
107654501,"cat_2127,cat_3,cat_11,cat_14"
107658701,"cat_2127,cat_3,cat_14"
107658801,"cat_2127,cat_3,cat_14"
